Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1363,0,2.11E-05,0.000313763,0.000367937,0.000229581,0.000263588,,0.41247411,1.511461493,0.0000137,2.88E-50,2.57E-64
1364,0,2.10E-05,0.000312765,0.000366791,0.000228829,0.000262736,,0.411887784,1.509666953,0.0000136,2.63E-50,2.57E-64
1365,0,2.09E-05,0.000311771,0.000365649,0.000228081,0.000261888,,0.41130272,1.507875856,0.0000136,2.41E-50,2.57E-64
1366,0,2.08E-05,0.000310781,0.000364512,0.000227335,0.000261043,,0.410718916,1.506088194,0.0000135,2.20E-50,2.57E-64
1367,0,2.07E-05,0.000309795,0.000363379,0.000226592,0.000260201,,0.410136366,1.504303956,0.0000134,2.01E-50,2.57E-64
1368,0,2.07E-05,0.000308813,0.00036225,0.000225852,0.000259362,,0.409555067,1.502523135,0.0000134,1.84E-50,2.57E-64
1369,0,2.06E-05,0.000307835,0.000361126,0.000225115,0.000258527,,0.408975016,1.500745721,0.0000133,1.68E-50,2.57E-64
1370,0,0.000020497,0.00030686,0.000360006,0.000224381,0.000257695,,0.40839621,1.498971706,0.0000132,1.53E-50,2.57E-64
1371,0,2.04E-05,0.000305889,0.00035889,0.00022365,0.000256867,,0.407818644,1.497201079,0.0000132,1.40E-50,2.57E-64
1372,0,0.000020334,0.000304922,0.000357778,0.000222922,0.000256042,,0.407242315,1.495433833,0.0000131,1.28E-50,2.57E-64
1373,0,0.000020253,0.000303959,0.000356671,0.000222197,0.000255219,,0.406667219,1.493669958,0.0000131,1.17E-50,2.57E-64
1374,0,2.02E-05,0.000303,0.000355568,0.000221474,0.000254401,,0.406093354,1.491909445,0.000013,1.07E-50,2.57E-64
1375,0,2.01E-05,0.000302044,0.000354469,0.000220755,0.000253585,,0.405520715,1.490152286,0.0000129,9.76E-51,2.57E-64
1376,0,2.00E-05,0.000301092,0.000353374,0.000220038,0.000252772,,0.404949299,1.488398472,0.0000129,8.92E-51,2.57E-64
1377,0,1.99E-05,0.000300143,0.000352284,0.000219324,0.000251963,,0.404379102,1.486647994,0.0000128,8.15E-51,2.57E-64
1378,0,1.99E-05,0.000299199,0.000351198,0.000218613,0.000251157,,0.403810121,1.484900843,0.0000127,7.45E-51,2.57E-64
1379,0,1.98E-05,0.000298257,0.000350115,0.000217905,0.000250354,,0.403242353,1.48315701,0.0000127,6.80E-51,2.57E-64
1380,0,1.97E-05,0.00029732,0.000349037,0.0002172,0.000249554,,0.402675794,1.481416488,0.0000126,6.22E-51,2.57E-64
1381,0,1.96E-05,0.000296386,0.000347963,0.000216497,0.000248758,,0.40211044,1.479679266,0.0000126,5.68E-51,2.57E-64
1382,0,1.95E-05,0.000295456,0.000346893,0.000215797,0.000247964,,0.401546288,1.477945337,0.0000125,5.19E-51,2.57E-64
1383,0,1.95E-05,0.000294529,0.000345827,0.0002151,0.000247174,,0.400983335,1.476214692,0.0000124,4.74E-51,2.57E-64
1384,0,0.000019387,0.000293606,0.000344766,0.000214406,0.000246386,,0.400421578,1.474487322,0.0000124,4.33E-51,2.57E-64
1385,0,1.93E-05,0.000292686,0.000343708,0.000213714,0.000245602,,0.399861012,1.472763219,0.0000123,3.96E-51,2.57E-64
1386,0,1.92E-05,0.00029177,0.000342654,0.000213026,0.000244821,,0.399301635,1.471042374,0.0000123,3.62E-51,2.57E-64
1387,0,1.92E-05,0.000290858,0.000341604,0.000212339,0.000244042,,0.398743442,1.469324778,0.0000122,3.30E-51,2.57E-64
1388,0,1.91E-05,0.000289949,0.000340558,0.000211656,0.000243267,,0.398186432,1.467610424,0.0000121,3.02E-51,2.57E-64
1389,0,1.90E-05,0.000289043,0.000339516,0.000210975,0.000242495,,0.3976306,1.465899303,0.0000121,2.76E-51,2.57E-64
1390,0,0.000018933,0.000288141,0.000338478,0.000210297,0.000241726,,0.397075943,1.464191406,0.000012,2.52E-51,2.57E-64
1391,0,1.89E-05,0.000287242,0.000337444,0.000209622,0.00024096,,0.396522458,1.462486725,0.000012,2.30E-51,2.57E-64
1392,0,1.88E-05,0.000286347,0.000336414,0.000208949,0.000240196,,0.395970141,1.460785251,0.0000119,2.10E-51,2.57E-64
1393,0,1.87E-05,0.000285455,0.000335387,0.000208279,0.000239436,,0.39541899,1.459086977,0.0000118,1.92E-51,2.57E-64
1394,0,1.86E-05,0.000284567,0.000334365,0.000207611,0.000238679,,0.394869,1.457391894,0.0000118,1.76E-51,2.57E-64
1395,0,1.86E-05,0.000283682,0.000333346,0.000206946,0.000237924,,0.394320169,1.455699993,0.0000117,1.61E-51,2.57E-64
1396,0,1.85E-05,0.0002828,0.000332331,0.000206284,0.000237173,,0.393772493,1.454011267,0.0000117,1.47E-51,2.57E-64
1397,0,1.84E-05,0.000281922,0.00033132,0.000205624,0.000236424,,0.393225969,1.452325707,0.0000116,1.34E-51,2.57E-64
1398,0,1.83E-05,0.000281047,0.000330313,0.000204967,0.000235679,,0.392680594,1.450643306,0.0000116,1.22E-51,2.57E-64
1399,0,1.83E-05,0.000280176,0.00032931,0.000204312,0.000234936,,0.392136365,1.448964053,0.0000115,1.12E-51,2.57E-64
1400,0,0.000018204,0.000279308,0.00032831,0.00020366,0.000234196,,0.391593278,1.447287943,0.0000115,1.02E-51,2.57E-64
1401,0,1.81E-05,0.000278443,0.000327314,0.000203011,0.000233459,,0.39105133,1.445614966,0.0000114,9.34E-52,2.57E-64
1402,0,1.81E-05,0.000277581,0.000326322,0.000202364,0.000232724,,0.390510518,1.443945115,0.0000113,8.53E-52,2.57E-64
1403,0,1.80E-05,0.000276723,0.000325333,0.000201719,0.000231993,,0.389970838,1.442278381,0.0000113,7.80E-52,2.57E-64
1404,0,1.79E-05,0.000275867,0.000324348,0.000201077,0.000231264,,0.389432288,1.440614757,0.0000112,7.12E-52,2.57E-64
1405,0,1.79E-05,0.000275015,0.000323367,0.000200438,0.000230538,,0.388894865,1.438954234,0.0000112,6.51E-52,2.57E-64
