Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
2682,0,0.018978526,0.016524956,0.018215716,0.005134316,0.004676716,,0.156153494,0.257730436,0.001022546,8.48E-17,1.05E-50
2683,0,0.018961518,0.016509865,0.018199312,0.005128744,0.004671542,,0.156058897,0.257588446,0.001020972,8.35E-17,1.01E-50
2684,0,0.018944533,0.016494794,0.01818293,0.00512318,0.004666376,,0.155964392,0.257446586,0.001019401,8.23E-17,9.60E-51
2685,0,0.018927568,0.016479741,0.018166568,0.005117624,0.004661217,,0.15586998,0.257304857,0.001017833,8.10E-17,9.17E-51
2686,0,0.018910626,0.016464708,0.018150227,0.005112076,0.004656066,,0.15577566,0.25716326,0.001016268,7.98E-17,8.76E-51
2687,0,0.018893704,0.016449695,0.018133907,0.005106536,0.004650922,,0.155681432,0.257021792,0.001014706,7.86E-17,8.36E-51
2688,0,0.018876804,0.0164347,0.018117608,0.005101005,0.004645786,,0.155587296,0.256880455,0.001013146,7.74E-17,7.99E-51
2689,0,0.018859926,0.016419725,0.018101329,0.005095481,0.004640658,,0.155493252,0.256739249,0.00101159,7.62E-17,7.63E-51
2690,0,0.018843069,0.016404769,0.018085071,0.005089965,0.004635537,,0.1553993,0.256598172,0.001010037,7.51E-17,7.29E-51
2691,0,0.018826233,0.016389832,0.018068834,0.005084457,0.004630424,,0.155305439,0.256457226,0.001008486,7.40E-17,6.96E-51
2692,0,0.018809418,0.016374914,0.018052617,0.005078958,0.004625318,,0.15521167,0.256316409,0.001006938,7.28E-17,6.65E-51
2693,0,0.018792625,0.016360016,0.01803642,0.005073466,0.00462022,,0.155117993,0.256175721,0.001005393,7.17E-17,6.35E-51
2694,0,0.018775852,0.016345136,0.018020244,0.005067982,0.004615129,,0.155024406,0.256035163,0.001003851,7.07E-17,6.06E-51
2695,0,0.018759101,0.016330276,0.018004089,0.005062506,0.004610046,,0.154930911,0.255894735,0.001002312,6.96E-17,5.79E-51
2696,0,0.018742371,0.016315434,0.017987954,0.005057038,0.00460497,,0.154837507,0.255754435,0.001000776,6.85E-17,5.53E-51
2697,0,0.018725663,0.016300612,0.01797184,0.005051578,0.004599902,,0.154744194,0.255614265,0.000999243,6.75E-17,5.28E-51
2698,0,0.018708975,0.016285808,0.017955745,0.005046126,0.004594841,,0.154650971,0.255474223,0.000997712,6.65E-17,5.04E-51
2699,0,0.018692308,0.016271023,0.017939672,0.005040682,0.004589787,,0.15455784,0.255334309,0.000996184,6.55E-17,4.82E-51
2700,0,0.018675662,0.016256257,0.017923618,0.005035246,0.004584741,,0.154464798,0.255194524,0.000994659,6.45E-17,4.60E-51
2701,0,0.018659038,0.01624151,0.017907585,0.005029817,0.004579702,,0.154371848,0.255054868,0.000993137,6.35E-17,4.39E-51
